"","Outbreak_id","t0","Longitude","Latitude","Location_aprox","Location_name","level2_name","level1_name","Species","is_wild"
"694","ob_108364","2022",-105.68,40.581,TRUE,"Larimer County",NA,"Colorado","Birds",FALSE
"695","ob_108365","2022",-104.68,40.393,TRUE,"Weld County",NA,"Colorado","Birds",FALSE
"696","ob_108368","2022",-74.206,39.964,TRUE,"Ocean County",NA,"New Jersey","Birds",FALSE
"697","ob_108358","2022",-82.389,27.886,TRUE,"Hillsborough County",NA,"Florida","Birds",FALSE
"698","ob_108434","2022",-95.386,45.641,TRUE,"Pope County",NA,"Minnesota","Birds",FALSE
"699","ob_108436","2022",-80.253,27.176,TRUE,"Martin County",NA,"Florida","Birds",FALSE
"700","ob_108435","2022",-80.134,26.081,TRUE,"Broward County",NA,"Florida","Birds",FALSE
"701","ob_108438","2022",-89.649,35.565,TRUE,"Tipton County",NA,"Tennessee","Birds",FALSE
"702","ob_108427","2022",-121.655,36.678,TRUE,"Monterey County",NA,"California","Larus occidentalis",TRUE
"703","ob_108428","2022",-93.326,29.795,TRUE,"Cameron and Jefferson Davis Parish",NA,"Louisiana","Anas discors",TRUE
"704","ob_108437","2022",-76.992,43.06,TRUE,"Wayne County",NA,"New York","Birds",FALSE
"705","ob_108441","2022",-121.336,43.992,TRUE,"Deschutes County",NA,"Oregon","Birds",FALSE
"706","ob_108366","2022",-96.641,45.219,TRUE,"Grant County",NA,"South Dakota","Birds",FALSE
"707","ob_108725","2022",-90.129,31.567,TRUE,"Lawrence County",NA,"Mississippi","Birds",FALSE
"708","ob_108723","2022",-93.723,42.732,TRUE,"Wright County",NA,"Iowa","Birds",FALSE
"709","ob_108735","2022",-75.47,40.631,TRUE,"Lehigh County",NA,"Pennsylvania","Birds",FALSE
"710","ob_108734","2022",-75.483,40.627,TRUE,"Lehigh County",NA,"Pennsylvania","Birds",FALSE
"711","ob_108724","2022",-99.295,43.179,TRUE,"Gregory County",NA,"South Dakota","Birds",FALSE
"712","ob_108729","2022",-75.57,40.597,TRUE,"Lehigh County",NA,"Pennsylvania","Birds",FALSE
"713","ob_108581","2022",-94.214,45.519,TRUE,"Stearns County",NA,"Minnesota","Birds",FALSE
"714","ob_108584","2022",-123.197,45.209,TRUE,"Yamhill County",NA,"Oregon","Birds",FALSE
"715","ob_108583","2022",-117.147,32.713,TRUE,"San Diego County",NA,"California","Birds",FALSE
"716","ob_108470","2022",-113.312,46.338,TRUE,"Granite County",NA,"Montana","Birds",FALSE
"717","ob_108471","2022",-93.735,42.746,TRUE,"Wright County",NA,"Iowa","Birds",FALSE
"718","ob_108726","2022",-88.835,43.006,TRUE,"Jefferson County",NA,"Wisconsin","Birds",FALSE
"719","ob_108582","2022",-100.445,48.821,TRUE,"Bottineau County",NA,"North Dakota","Birds",FALSE
"720","ob_108731","2022",-75.6,40.6,FALSE,"Lehigh County",NA,"Pennsylvania","Birds",FALSE
"721","ob_108727","2022",-84.565,39.401,TRUE,"Butler County",NA,"Ohio","Birds",FALSE
"722","ob_108619","2022",-71.142,42.398,TRUE,"Middlesex County",NA,"Massachusetts","Birds",FALSE
"723","ob_108736","2022",-122.187,47.982,TRUE,"Snohomish County",NA,"Washington","Birds",FALSE
"724","ob_108637","2022",-96.433,32.916,TRUE,"Rockwall County",NA,"Texas","Birds",FALSE
"725","ob_108638","2022",-95.979,36.143,TRUE,"Tulsa County",NA,"Oklahoma","Birds",FALSE
"726","ob_108636","2022",-93.139,35.306,TRUE,"Pope County",NA,"Arkansas","Birds",FALSE
"727","ob_108614","2022",-108.724,42.831,TRUE,"Fremont County",NA,"Wyoming","Birds",FALSE
"728","ob_108623","2022",-74.03,40.903,TRUE,"Bergen County",NA,"New Jersey","Birds",FALSE
"729","ob_108591","2022",-80.009,40.44,TRUE,"Allegheny County",NA,"Pennsylvania","Birds",FALSE
"730","ob_108631","2022",-80.67,32.43,TRUE,"Beaufort County",NA,"South Carolina","Birds",FALSE
"731","ob_108590","2022",-80.169,26.121,TRUE,"Broward County",NA,"Florida","Birds",FALSE
"732","ob_108634","2022",-74.677,41.663,TRUE,"Sullivan County",NA,"New York","Birds",FALSE
"733","ob_108639","2022",-92.722,44.964,TRUE,"St. Croix County",NA,"Wisconsin","Birds",FALSE
"734","ob_108737","2022",-76.525,37.399,TRUE,"Gloucester County",NA,"Virginia","Birds",FALSE
"735","ob_108738","2022",-105.376,42.745,TRUE,"Converse County",NA,"Wyoming","Birds",FALSE
"736","ob_108589","2022",-112.47,34.541,TRUE,"Yavapai County",NA,"Arizona","Birds",FALSE
